边城	The Border Town
或日中有了疑心，则梦里必见男子在桅上向另一方面唱歌，却不理会自己。	If she'd begun to doubt him, she'd see the man up in the rigging, directing his songs toward another quarter and ignoring her.
性格弱一点儿的，接着就在梦里投河吞鸦片烟，性格强一点儿的便手执菜刀，直向那水手奔去。	The weaker spirits would proceed to dream of drowning themselves in the river or taking an overdose of opium, whereas those made of sterner stuff would run at their man with a cleaver.
他们生活虽那么同一般社会疏远，但是眼泪与欢乐，在一种爱憎得失间，揉进了这些人生活里时，也便同另外一片土地另外一些年轻生命相似，全个身心为那点爱憎所浸透，见寒作热，忘了一切。	Though far outside the bounds of ordinary society, when tears and laughter worked their way into these women's lives through loves won and loves lost, they were just like women of any other time or place, ruled body and soul by love and hate, with all their chills and fevers, oblivious to all else.
若有多少不同处，不过是这些人更真切一点，也更近于胡涂一点罢了。	The only thing really setting them apart was that they were a little more given to resolve, and therefore also foolishness  just that, no more.
短期的包定，长期的嫁娶，一时间的关门，这些关于一个女人身体上的交易，由于民情的淳朴，身当其事的不觉得如何下流可耻，旁观者也就从不用读书人的观念，加以指摘与轻视。	Short-term commitments, long-term engagements, one-night stands  these transactions with women's bodies, given the simplicity of local mores, did not feel degrading or shameful to those who did business with their bodies, nor did those on the outside use the concepts of the educated to censure them or look down on them.
这些人既重义轻利，又能守信自约，即便是娼妓，也常常较之讲道德知羞耻的城市中人还更可信任。	These women put principles before profit and they kept their promises; even if they were prostitutes, they tended to be more trustworthy than city people who knew all about "shame."
掌水码头的名叫顺顺，一个前清时便在营伍中混过日子来的人物，革命时在著名的陆军四十九标做个什长。同样做什长的，有因革命成了伟人名人的，有杀头碎尸的，他却带少年喜事得来的脚疯痛，回到了家乡，把所积蓄的一点钱，买了一条六桨白木船，租给一个穷船主，代人装货在茶峒与辰州之间来往。	The man in charge of the docks was one Shunshun, a character who'd spent his time in the ranks during the Qing dynasty and then led a squad as a sergeant in the famous Forty-ninth army regiment at the time of the revolution.  Others of his rank had either become famous for their revolutionary exploits or lost their heads, but he went home, though with bad feet  the result of gout from youthful carousing.  He bought a simple six-man wooden boat with his modest savings and rented it out to a boat captain down on his luck to transport goods between Chadong and Chenzhou on commission.
气运好，半年之内船不坏事，于是他从所赚的钱上，又讨了一个略有产业的白脸黑发小寡妇。	Luck was with him; the boat sailed safely, and in six months he'd saved money enough to marry a pretty, black-haired young widow.
数年后，在这条河上，他就有了大小四只船，一个铺子，两个儿子了。	That was his start.  Several years later, he had acquired eight boats that plied the river, a wife, and two sons.
但这个大方洒脱的人，事业虽十分顺手，却因欢喜交朋结友，慷慨而又能济人之急，便不能同贩油商人一样大大发作起来。	This untrammeled and free-spending fellow, able though he was in business, liked to store up friends and give out money.  Shunshun was always there for those in need, so he never became greatly rich like the tung oil merchants.
自己既在粮子里混过日子，明白出门人的甘苦，理解失意人的心情，故凡因船只失事破产的船家，过路的退伍兵士，游学文墨人，凡到了这个地方闻名求助的，莫不尽力帮助。	He knew what it was like to live on army rations and endure the hardships of travel, and what it felt like to have one's hopes dashed.  Whenever a boat owner bankrupted by a shipwreck, a demobilized soldier on his way home, or a scholar or painter wanting to study abroad came to town for help because he'd heard of Shunshun's generosity, he did his utmost for them, one and all.
一面从水上赚来钱，一面就这样洒脱散去。	He earned his fortune from the water, and so he sprinkled that fortune all around.
这人虽然脚上有点小毛病，还能泅水；走路难得其平，为人却那么公正无私。	He could swim, even with his bad feet.  His walk was uneven, but his character and judgments were straightforward, right down the middle.
水面上各事原本极其简单，一切皆为一个习惯所支配，谁个船碰了头，谁个船妨害了别一个人别一只船的利益，皆照例有习惯方法来解决。	Things were fairly simple out on the river; everything was decided by customary practice.  Which boat was at fault in a collision, which boat had harmed another's property  usually there was an established way to decide it.
惟运用这种习惯规矩排调一切的，必需一个高年硕德的中心人物。	But to apply all these customary laws they needed an elder of tested virtue.
某年秋天，那原来执事人死去了，顺顺作了这样一个代替者。	On an autumn day some years before, the old boss of the riverfront had passed away.  Shunshun took his place.
那时他还只五十岁，为人既明事明理，正直和平又不爱财，故无人对他年龄怀疑。	He was only fifty at the time, but he was so astute, upright, and even-tempered, so free of greed and venality, that no objections were heard on account of his youth.
